おだる,1286,1286,-32768,おだる,動詞,,,不変,を,方言,オダル,折る,56,*,*,*,*
おだれる,1286,1286,-32768,おだれる,動詞,,,不変,を,方言,オダレル,折れる,57,*,*,*,*
おっかかる,1286,1286,-32768,おっかかる,動詞,,,不変,へ,方言,オッ カカル,寄りかかる,58,*,*,*,*
おっかがる,1286,1286,-32768,おっかがる,動詞,,,不変,へ,方言,オッ カガル,寄りかかる,59,*,*,*,*
おっかづく,1286,1286,-32768,おっかづく,動詞,,,不変,に,方言,オッカヅク,追いつく,60,*,*,*,*
おっつける,1286,1286,-32768,おっつける,動詞,,,不変,を,方言,オッツケル,押し付ける,61,*,*,*,*
おっぱがす,1286,1286,-32768,おっぱがす,動詞,,,不変,を,方言,オッパガス,追い越す,62,*,*,*,*
おぼげる,1286,1286,-32768,おぼげる,動詞,,,不変,に,方言,オボゲル,溺れる,63,*,*,*,*
おぼごなし,1286,1286,-32768,おぼごなし,動詞,,,不変,,方言,オボゴナシ,出産する,64,*,*,*,*
おやす,1286,1286,-32768,おやす,動詞,,,不変,を,方言,オヤス,終わらせる,65,*,*,*,*
おわいなっと,1286,1286,-32768,おわいなっと,動詞,,,,を,方言,オワイナット,召し上がって,66,*,*,*,*
おわいなる,1286,1286,-32768,おわいなる,動詞,,,不変,を,方言,オワイナル,召し上がる,67,*,*,*,*
おわえない,1286,1286,-32768,おわえない,動詞,不規則,,,を,方言,オワエナイ,お召し上がりください,68,*,*,*,*
おわえなえ,1286,1286,-32768,おわえなえ,動詞,不規則,,,を,方言,オワエナエ,召し上がってください,69,*,*,*,*
おんつぁれる,1286,1286,-32768,おんつぁれる,動詞,,,不変,,方言,オンツァレル,怒られる,70,*,*,*,*
おんまるめる,1286,1286,-32768,おんまるめる,動詞,,,不変,を,方言,オン マルメル,丸める,71,*,*,*,*
がおる,1286,1286,-32768,がおる,動詞,,,不変,,方言,ガ オル,疲れる,72,*,*,*,*
がさばる,1286,1286,-32768,がさばる,動詞,,,不変,,方言,ガ サバル,場所をとる,73,*,*,*,*
かせる,1286,1286,-32768,かせる,動詞,,,不変,を,方言,カセル,食べさせる,74,*,*,*,*
かせろ,1286,1286,-32768,かせろ,動詞,,,不変,を,方言,カセロ,食わせろ,75,*,*,*,*
かだる,1286,1286,-32768,かだる,動詞,,,不変,,方言,カダル,語る,76,*,*,*,*
かだんな,1286,1286,-32768,かだんな,動詞,,,不変,,方言,カダンナ,言うな,77,*,*,*,*
かだんな,1286,1286,-32768,かだんな,動詞,,,不変,,方言,カダンナ,喋るな,78,*,*,*,*
かっちゃ,1286,1286,-32768,かっちゃ,動詞,不規則,,,を,方言,カッチャ,食べることができた,79,*,*,*,*
かっちゃぐ,1286,1286,-32768,かっちゃぐ,動詞,,,不変,を,方言,カッチャグ,掻く,80,*,*,*,*
がってしね,1286,1286,-32768,がってしね,動詞,,,不変,を,方言,ガッテシネ,気にしない,81,*,*,*,*
かぶずぐ,1286,1286,-32768,かぶずぐ,動詞,,,不変,に,方言,カブズグ,噛みつく,82,*,*,*,*
かぶだれ,1286,1286,-32768,かぶだれ,動詞,,,不変,に,方言,カブダレ,つまずいて転ぶ,83,*,*,*,*
かぶだれをくう,1286,1286,-32768,かぶだれをくう,動詞,五段,,,に,方言,カブダレヲ クウ,水たまりに落ちる,84,*,*,*,*
かむ,1286,1286,-32768,かむ,動詞,,,不変,に,方言,カム,構う,85,*,*,*,*
かむ,1286,1286,-32768,かむ,動詞,五段,,,に,方言,カムゴド,かまう,86,*,*,*,*
がめる,1286,1286,-32768,がめる,動詞,,,不変,を,方言,ガメル,ちょろまかす,87,*,*,*,*
かれる,1286,1286,-32768,かれる,動詞,,,不変,を,方言,カレル,食べられる,88,*,*,*,*
かんかんわたりする,913,913,-32768,かんかんわたりする,動詞,さ変,,,が,方言,カンカンワタリスル,雪の上を歩く,89,*,*,*,*
かんずける,1286,1286,-32768,かんずける,動詞,下一段,,,が,方言,カンズケル,人のせいにする,90,*,*,*,*
かんずげる,913,913,-32768,かんずげる,動詞,さ変,,,を,方言,カンズゲル,転嫁する,91,*,*,*,*
かんなんね,1286,1286,-32768,かんなんね,動詞,不規則,,,を,方言,カンナンネ,食べなければならない,92,*,*,*,*
かんに,1286,1286,-32768,かんに,動詞,不規則,,,を,方言,カンニ,食べられません,93,*,*,*,*
かんね,1286,1286,-32768,かんね,動詞,不規則,,,を,方言,カンネ,食えない,94,*,*,*,*
かんぶっちゃ,1286,1286,-32768,かんぶっちゃ,動詞,,,不変,が,方言,カンブッチャ,腐った,95,*,*,*,*
かんまが,1286,1286,-32768,かんまが,動詞,,,不変,を,方言,カンマガ,かきまぜ,96,*,*,*,*
かんまがす,1286,1286,-32768,かんまがす,動詞,,,不変,を,方言,カンマガス,かきまぜる,97,*,*,*,*
きておごやう,1286,1286,-32768,きておごやう,動詞,,,不変,に,方言,キテ オゴヤウ,来ていただく,98,*,*,*,*
きめごど,1286,1286,-32768,きめごど,動詞,,,不変,が,方言,キメゴド,すねる,99,*,*,*,*
きもむ,1286,1286,-32768,きもむ,動詞,,,不変,,方言,キモム,気を揉む,100,*,*,*,*
きもめる,1286,1286,-32768,きもめる,動詞,,,不変,が,方言,キモメル,そわそわする,101,*,*,*,*
きゃーます,1286,1286,-32768,きゃーます,動詞,不規則,,,が,方言,キャーマス,調子に乗る,102,*,*,*,*
きやまして,1286,1286,-32768,きやまして,動詞,不規則,,,が,方言,キヤマシテ,調子に乗って,103,*,*,*,*
きやます,1286,1286,-32768,きやます,動詞,不規則,,,が,方言,キヤマス,調子に乗っている,104,*,*,*,*
きんか,1286,1286,-32768,きんか,動詞,,,不変,が,方言,キンカ,聞こえない,105,*,*,*,*
ぎんぼ,1286,1286,-32768,ぎんぼ,動詞,,,不変,が,方言,ギンボ,足がつった,106,*,*,*,*
くうだい,1286,1286,-32768,くうだい,動詞,,,不変,を,方言,クウダイ,食べたい,107,*,*,*,*
くじゃます,1286,1286,-32768,くじゃます,動詞,,,不変,を,方言,クジャマス,からかう,108,*,*,*,*
くじゃます,913,913,-32768,くじゃます,動詞,さ変,,,を,方言,クジャマス,バカにする,109,*,*,*,*
くだい,1286,1286,-32768,くだい,動詞,不規則,,,を,方言,クダイ,ください,110,*,*,*,*
くだえ,1286,1286,-32768,くだえ,動詞,,,不変,を,方言,クダエ,ください,111,*,*,*,*
くっさ,1286,1286,-32768,くっさ,動詞,,,不変,に,方言,クッサ,来るそうだ,112,*,*,*,*
ぐっち,1286,1286,-32768,ぐっち,動詞,,,不変,,方言,グッチ,ぐれる,113,*,*,*,*
くっちさ,1286,1286,-32768,くっちさ,動詞,,,不変,に,方言,クッチサ,来るようだ,114,*,*,*,*
くっちゃばす,1286,1286,-32768,くっちゃばす,動詞,不規則,,,を,方言,クッチャバス,食い散らかす,115,*,*,*,*
くべる,1286,1286,-32768,くべる,動詞,,,不変,を,方言,クベル,燃やす,116,*,*,*,*
ぐやえ,1286,1286,-32768,ぐやえ,動詞,不変則,,,を,方言,ぐやえ,ください,117,*,*,*,*
ぐやぇ,1286,1286,-32768,ぐやぇ,動詞,不変則,,,を,方言,ぐやぇ,ください,118,*,*,*,*
くらえ,1286,1286,-32768,くらえ,動詞,,,不変,を,方言,クラエ,食べて,119,*,*,*,*
くわっちゃ,1286,1286,-32768,くわっちゃ,動詞,,,不変,を,方言,クワッチャ,食べられる,120,*,*,*,*
