たいらにする,1286,1286,-32768,たいらに,動詞,不規則,,,,方言,タイラニ,足を崩して座る,246,*,*,*,*
たがぐ,1286,1286,-32768,たがぐ,動詞,,,不変,,方言,タガグ,持つ,247,*,*,*,*
たがぐ,913,913,-32768,たがぐ,動詞,さ変,,,,方言,タガグ,持参する,248,*,*,*,*
たがる,1286,1286,-32768,たがる,動詞,,,不変,,方言,タガル,群がる,249,*,*,*,*
たぐさる,1286,1286,-32768,たぐさる,動詞,,,不変,,方言,タグサル,掴まる,250,*,*,*,*
たごまる,1286,1286,-32768,たごまる,動詞,,,不変,,方言,タゴマル,からむ,251,*,*,*,*
だしあれ,1286,1286,-32768,だしあれ,動詞,不規則,,,,方言,ダシ アレ,降ったり止んだり,252,*,*,*,*
たっちゃ,1286,1286,-32768,たっちゃ,動詞,,,不変,,方言,タッチャ,出た,253,*,*,*,*
たてる,1286,1286,-32768,たてる,動詞,,,不変,,方言,タテル,閉める,254,*,*,*,*
たねる,1286,1286,-32768,たねる,動詞,,,不変,,方言,タネル,探す,255,*,*,*,*
たまる,1286,1286,-32768,たまる,動詞,,,不変,,方言,タマル,こびりつく,256,*,*,*,*
だら,1286,1286,-32768,だら,動詞,,,不変,,方言,ダラ,肥え,257,*,*,*,*
だらだらになる,1286,1286,-32768,だらだらになる,動詞,,,不変,,方言,ダラダラニ ナル,ずぶぬれになる,258,*,*,*,*
たんがぐ,1286,1286,-32768,たんがぐ,動詞,,,不変,,方言,タンガ グ,持つ,259,*,*,*,*
だんち,1286,1286,-32768,だんち,動詞,,,不変,,方言,ダンチ,座る,260,*,*,*,*
ちゃいちゃい,1286,1286,-32768,ちゃいちゃい,動詞,,,不変,,方言,チャイチャイ,調子に乗る,261,*,*,*,*
ちゃいちゃいして,1286,1286,-32768,ちゃいちゃいして,動詞,,,不変,,方言,チャイチャイシテ,調子に乗っている,262,*,*,*,*
ちゃいちゃいて,1286,1286,-32768,ちゃいちゃいて,動詞,,,不変,,方言,チャイチャイテ,調子に乗って,263,*,*,*,*
ちょこまか,1286,1286,-32768,ちょこまか,動詞,不規則,,,,方言,チョコマカ,落ち着きなく動く,264,*,*,*,*
ちょどして,1286,1286,-32768,ちょどして,動詞,,,不変,,方言,チョ ドシテ,動かないで,265,*,*,*,*
ちょりちょりになる,1286,1286,-32768,ちょりちょりになる,動詞,不規則,,,,方言,チョリチョリニ ナル,髪の毛がパサパサになる,266,*,*,*,*
ちょろから,1286,1286,-32768,ちょろから,動詞,,,不変,,方言,チョロカラ,騒ぐ,267,*,*,*,*
ちょろこい,1286,1286,-32768,ちょろこい,動詞,不規則,,,,方言,チョロコイ,落ち着きがない,268,*,*,*,*
ちょろごい,1286,1286,-32768,ちょろごい,動詞,,,不変,,方言,チョロゴイ,すばしっこい,269,*,*,*,*
つかし,1286,1286,-32768,つかし,動詞,,,不変,,方言,ツカシテ,言っ,270,*,*,*,*
つかす,1286,1286,-32768,つかす,動詞,,,不変,,方言,ツカス,言う,271,*,*,*,*
つける,1286,1286,-32768,つける,動詞,,,不変,,方言,ツケル,積み込む,272,*,*,*,*
つこえる,1286,1286,-32768,つこえる,動詞,,,不変,,方言,ツコエル,付け加える,273,*,*,*,*
つっちぇきて,1286,1286,-32768,つっちぇきて,動詞,不規則,,,,方言,ツッチェキテ,連れてきて,274,*,*,*,*
つっちぇこい,1286,1286,-32768,つっちぇこい,動詞,不規則,,,,方言,ツッチェコイ,連れてこい,275,*,*,*,*
つっちぇって,1286,1286,-32768,つっちぇって,動詞,不規則,,,,方言,ツッチェッテ,連れてって,276,*,*,*,*
つっちきて,1286,1286,-32768,つっちきて,動詞,不規則,,,,方言,ツッチキテ,連れて来て,277,*,*,*,*
つっちって,1286,1286,-32768,つっちって,動詞,不規則,,,,方言,ツッチッテ,連れてって,278,*,*,*,*
つっとまる,1286,1286,-32768,つっとまる,動詞,,,不変,,方言,ツットマル,つかえる,279,*,*,*,*
つっぱえる,1286,1286,-32768,つっぱえる,動詞,不規則,,,,方言,ツッパエル,雪道で車がはまる,280,*,*,*,*
つんだす,1286,1286,-32768,つんだす,動詞,,,不変,,方言,ツンダス,差し出す,281,*,*,*,*
つんのめる,1286,1286,-32768,つんのめる,動詞,,,不変,,方言,ツンノメル,つまづく,282,*,*,*,*
できっごと,1286,1286,-32768,できっごと,動詞,名詞,,,,方言,デキッゴト,できること,283,*,*,*,*
でだ,1286,1286,-32768,でだ,動詞,不規則,,,,方言,デダ,できた,284,*,*,*,*
てっぱずれ,1286,1286,-32768,てっぱずれ,動詞,不規則,,,,方言,テッパズレ,手から落とす,285,*,*,*,*
てっぱずれる,1286,1286,-32768,てっぱずれる,動詞,不規則,,,,方言,テッパズレル,手から落とす,286,*,*,*,*
でっぴ,1286,1286,-32768,でっぴ,動詞,不規則,,,,方言,デッピ,額が出ている,287,*,*,*,*
でね,1286,1286,-32768,でね,動詞,,,不変,,方言,デネ,出ない,288,*,*,*,*
でね,1286,1286,-32768,でね,動詞,,,不変,,方言,デネ,出来ない,289,*,*,*,*
でねべ,1286,1286,-32768,でねべ,動詞,,,不変,,方言,デネベ,出ないでしょ,290,*,*,*,*
でねよ,1286,1286,-32768,でねよ,動詞,,,不変,,方言,デ ネヨ,出ないよ,291,*,*,*,*
ではる,1286,1286,-32768,ではる,動詞,,,不変,,方言,デ ハル,出掛ける,292,*,*,*,*
ではる,913,913,-32768,ではる,動詞,さ変,,,,方言,デ ハル,外出する,293,*,*,*,*
てんつこぐ,1286,1286,-32768,てんつこぐ,動詞,,,不変,,方言,テンツコグ,嘘をつく,294,*,*,*,*
どぎまぎ,1286,1286,-32768,どぎまぎ,動詞,,,不変,,方言,ドギマギ,あわてる,295,*,*,*,*
とっかえばす,1286,1286,-32768,とっかえばす,動詞,,,不変,,方言,トッカエバ ス,取り返す,296,*,*,*,*
とっかえひっかえ,1286,1286,-32768,とっかえひっかえ,副詞,,,不変,,方言,トッカエヒッカエ,なんども変える,297,*,*,*,*
とっかえる,913,913,-32768,とっかえる,動詞,さ変,,,,方言,トッカ エル,交換する,298,*,*,*,*
とっちゃ,1286,1286,-32768,とっちゃ,動詞,,,不変,,方言,トッチャ,取れた,299,*,*,*,*
どっぺん,1286,1286,-32768,どっぺん,動詞,不規則,,,,方言,ドッペン,通れないようにする,300,*,*,*,*
とどさくなる,1286,1286,-32768,とどさくなる,動詞,,,不変,,方言,トドサクナル,眠くなる,301,*,*,*,*
どんづまり,1286,1286,-32768,どんづまり,動詞,,,不変,,方言,ドンヅマリ,行き止まり,302,*,*,*,*
ないがずよ,1286,1286,-32768,ないがずよ,動詞,,,不変,,方言,ナイガズヨ,ありませんか,303,*,*,*,*
なげ,1286,1286,-32768,なげ,動詞,,,,,方言,ナゲ,捨て,304,*,*,*,*
なげる,1286,1286,-32768,なげる,動詞,,,不変,,方言,ナゲル,捨てる,305,*,*,*,*
なす,1286,1286,-32768,なす,動詞,,,不変,,方言,ナス,返す,306,*,*,*,*
なす,913,913,-32768,なす,動詞,さ変,,,,方言,ナス,弁償する,307,*,*,*,*
なだこける,1286,1286,-32768,なだこける,動詞,不規則,,,,方言,ナダ コケル,屋根の雪が落ちる,308,*,*,*,*
なつこい,1286,1286,-32768,なつこい,動詞,,,不変,,方言,ナツコイ,打ち解ける,309,*,*,*,*
なでこける,1286,1286,-32768,なでこける,動詞,不規則,,,,方言,ナデコケル,なだれが起きる,310,*,*,*,*
にだだね,1286,1286,-32768,にだだね,動詞,,,不変,,方言,ニダダネ,沸騰しない,311,*,*,*,*
ぬだぐる,1286,1286,-32768,ぬだぐる,動詞,,,不変,,方言,ヌダグル,塗る,312,*,*,*,*
ぬっちゃ,1286,1286,-32768,ぬっちゃ,動詞,,,不変,,方言,ヌッチャ,塗るよ,313,*,*,*,*
ぬっちゃ,1286,1286,-32768,ぬっちゃ,動詞,,,不変,,方言,ヌッチャ,濡れてしまった,314,*,*,*,*
ぬろ,1286,1286,-32768,ぬろ,動詞,,,不変,,方言,ヌロ,塗って,315,*,*,*,*
ねそげる,1286,1286,-32768,ねそげる,動詞,,,不変,,方言,ネソゲル,眠れなかった,316,*,*,*,*
ねっそっぉ,1286,1286,-32768,ねっそっぉ,動詞,,,不変,,方言,ネッソッォ,寝るよ,317,*,*,*,*
のたばる,1286,1286,-32768,のたばる,動詞,,,不変,,方言,ノ タバル,横になっている,318,*,*,*,*
のだばる,1286,1286,-32768,のだばる,動詞,,,不変,,方言,ノダバル,腹ばいになる,319,*,*,*,*
のったばる,1286,1286,-32768,のったばる,動詞,,,不変,,方言,ノッタバル,横になっている,320,*,*,*,*
のったばる,1286,1286,-32768,のったばる,動詞,,,不変,,方言,ノッタバル,腹ばいになる,321,*,*,*,*
のびろ,1286,1286,-32768,のびろ,動詞,,,不変,,方言,ノビロ,寝転んで休め,322,*,*,*,*
のぼせ,1286,1286,-32768,のぼせ,動詞,,,,,方言,ノボセ,いい気になっ,323,*,*,*,*
のぼせる,1286,1286,-32768,のぼせる,動詞,,,,,方言,ノボセル,いい気になる,324,*,*,*,*
のぼせる,1286,1286,-32768,のぼせる,動詞,,,不変,,方言,ノボセル,調子に乗る,325,*,*,*,*
ばえぶつ,1286,1286,-32768,ばえぶつ,動詞,,,不変,,方言,バエブツ,投げつける,326,*,*,*,*
はがいぐ,1286,1286,-32768,はがいぐ,動詞,,,不変,,方言,ハガイグ,順調に進む,327,*,*,*,*
はがどっこど,1286,1286,-32768,はがどっこど,動詞,,,不変,,方言,ハガドッコド,順調に進む,328,*,*,*,*
はかどる,1286,1286,-32768,はかどる,動詞,,,不変,,方言,ハカドル,順調に進む,329,*,*,*,*
はがどる,1286,1286,-32768,はがどる,動詞,,,不変,,方言,ハガドル,順調に進む,330,*,*,*,*
はこぶ,1286,1286,-32768,はこぶ,動詞,,,不変,,方言,ハコブ,進む,331,*,*,*,*
はだげる,1286,1286,-32768,はだげる,動詞,,,不変,,方言,ハダゲル,股を広げる,332,*,*,*,*
はったぎ,1286,1286,-32768,はったぎ,動詞,,,不変,,方言,ハッ タギ,痩せている,333,*,*,*,*
はっちゃげる,1286,1286,-32768,はっちゃげる,動詞,下一段,,,,方言,ハッチャゲル,はっちゃける,334,*,*,*,*
はまる,1286,1286,-32768,はまる,動詞,五段,,,,方言,ハマル,加わる,335,*,*,*,*
はまる,1286,1286,-32768,はまる,動詞,さ変,,,,方言,ハマル,参加する,336,*,*,*,*
はめらんに,1286,1286,-32768,はめらんに,動詞,,,不変,,方言,ハメランニ,仲間に出来ない,337,*,*,*,*
はめる,1286,1286,-32768,はめる,動詞,下一段,,,,方言,ハメテ,仲間にして,338,*,*,*,*
ばよいくら,1286,1286,-32768,ばよいくら,動詞,,,,,方言,バヨ イクラ,取り合い,339,*,*,*,*
ばよいくら,1286,1286,-32768,ばよいくら,動詞,,,不変,,方言,バヨ イクラ,奪い合い,340,*,*,*,*
はんばげる,1286,1286,-32768,はんばげる,動詞,下一段,,,,方言,ハンバゲル,むせかえる,341,*,*,*,*
はんばげる,1286,1286,-32768,はんばげる,動詞,下一段,,介護,,方言,ハンバゲル,吐き出す,342,*,*,*,*
ひしゃまし,1286,1286,-32768,ひしゃまし,動詞,動詞,,,,方言,シャアマシ,持て余し,343,*,*,*,*
ひっからびる,1286,1286,-32768,ひっからびる,動詞,上一段,,,,方言,ヒッカラビル,乾く,344,*,*,*,*
ひっからびる,1286,1286,-32768,ひっからびる,動詞,さ変,,,,方言,ヒッ カラビル,乾燥する,345,*,*,*,*
ひっちゃばぐ,1286,1286,-32768,ひっちゃばぐ,動詞,五段,,,,方言,ヒッチャバグ,引き裂く,346,*,*,*,*
ひっちゃばぐ,1286,1286,-32768,ひっちゃばぐ,動詞,五段,,,,方言,ヒッチャバグ,破く,347,*,*,*,*
ひっぱる,913,913,-32768,ひっぱる,動詞,さ変,,,,方言,ヒッパル,運転する,348,*,*,*,*
びんぞる,1286,1286,-32768,びんぞる,動詞,五段,,,,方言,ビンゾル,反る,349,*,*,*,*
ひんまがる,1286,1286,-32768,ひんまがる,動詞,五段,,,,方言,ヒンマガル,曲がる,350,*,*,*,*
ひんまるめる,1286,1286,-32768,ひんまるめる,動詞,下一段,,,,方言,ヒンマルメル,あつめる,351,*,*,*,*
ひんまるめる,1286,1286,-32768,ひんまるめる,動詞,下一段,,,,方言,ヒンマルメル,まとめる,352,*,*,*,*
ひんまるめる,1286,1286,-32768,ひんまるめる,動詞,下一段,,,,方言,ヒンマルメル,まるめる,353,*,*,*,*
ふせくさい,1286,1286,-32768,ふせくさい,動詞,,,不変,,方言,フセクサイ,悪くなる,354,*,*,*,*
ふせる,1286,1286,-32768,ふせる,動詞,下一段,,,,方言,フセル,病気になる,355,*,*,*,*
ふっかえ,1286,1286,-32768,ふっかえ,動詞,,,,,方言,フッカエ,降るだろうか,356,*,*,*,*
ぶったぎる,1286,1286,-32768,ぶったぎる,動詞,,,,,方言,ブッタギル,切る,357,*,*,*,*
ぶっただぐ,1286,1286,-32768,ぶっただぐ,動詞,,,,,方言,ブッタダグ,叩く,358,*,*,*,*
ぶっちゃく,1286,1286,-32768,ぶっちゃく,動詞,,,,,方言,ブッチャク,破る,359,*,*,*,*
ぶっちゃぐ,1286,1286,-32768,ぶっちゃぐ,動詞,,,,,方言,ブッチャグ,破く,360,*,*,*,*
ぶっつぶす,1286,1286,-32768,ぶっつぶす,動詞,,,,,方言,ブッツブス,潰す,361,*,*,*,*
ふっぺ,1286,1286,-32768,ふっぺ,動詞,,,,,方言,フッペ,降るだろう,362,*,*,*,*
ふんごぐる,1286,1286,-32768,ふんごぐる,動詞,,,,,方言,フンゴグル,押しやる,363,*,*,*,*
ふんずげる,1286,1286,-32768,ふんずげる,動詞,,,,,方言,フンズゲル,踏む,364,*,*,*,*
ぶんなぐる,1286,1286,-32768,ぶんなぐる,動詞,,,,,方言,ブンナグル,殴る,365,*,*,*,*
ふんね,1286,1286,-32768,ふんね,動詞,,,,,方言,フンネ,降らない,366,*,*,*,*
ふんね,1286,1286,-32768,ふんね,動詞,,,,,方言,フンネ,降りません,367,*,*,*,*
ぶんぶぐっちゃ,1286,1286,-32768,ぶんぶぐっちゃ,動詞,,,,,方言,ブンブグッチャ,すねる,368,*,*,*,*
ぶんぶぐれる,1286,1286,-32768,ぶんぶぐれる,動詞,,,,,方言,ブンブ グレル,すねる,369,*,*,*,*
ふんべ,1286,1286,-32768,ふんべ,動詞,,,,,方言,フンベ,降るだろう,370,*,*,*,*
ぶんむぐれる,1286,1286,-32768,ぶんむぐれる,動詞,,,,,方言,ブンムグレル,すねる,371,*,*,*,*
べそかぐ,1286,1286,-32768,べそかぐ,動詞,,,,,方言,ベソカグ,しょげる,372,*,*,*,*
へっちぇけろ,1286,1286,-32768,へっちぇけろ,動詞,,,,,方言,ヘッチェケロ,入れてください,373,*,*,*,*
へっちけろ,1286,1286,-32768,へっちけろ,動詞,,,,,方言,ヘッチケロ,入れて頂戴,374,*,*,*,*
ぼう,1286,1286,-32768,ぼう,動詞,,,,,方言,ボウ,追い払う,375,*,*,*,*
ほげる,1286,1286,-32768,ほげる,動詞,,,,,方言,ホゲル,崩れる,376,*,*,*,*
ほごす,1286,1286,-32768,ほごす,動詞,,,,,方言,ホゴス,取り壊す,377,*,*,*,*
ほだこぎ,1286,1286,-32768,ほだこぎ,動詞,,,,,方言,ホダコギ,深雪を行く,378,*,*,*,*
ぼっこす,1286,1286,-32768,ぼっこす,動詞,,,,,方言,ボッコス,壊す,379,*,*,*,*
ぼっこっちぇしまった,1286,1286,-32768,ぼっこっちぇしまった,動詞,不規則,,,,方言,ボッ コッチェシマッタ,壊れてしまった,380,*,*,*,*
ぼっこっちゃ,1286,1286,-32768,ぼっこっちゃ,動詞,不規則,,,,方言,ボッコッチャ,壊れちゃった,381,*,*,*,*
ぼっこれだ,1286,1286,-32768,ぼっこれだ,動詞,不規則,,,,方言,ボッ コレダ,壊れている,382,*,*,*,*
ぼっこれる,1286,1286,-32768,ぼっこれる,動詞,,,,,方言,ボッコレル,壊れる,383,*,*,*,*
ぼっこれる,1286,1286,-32768,ぼっこれる,動詞,,,,,方言,ボッコレル,壊れる,384,*,*,*,*
ぼったぐれ,1286,1286,-32768,ぼったぐれ,動詞,,,,,方言,ボッタ グレ,追い払え,385,*,*,*,*
ほろぐ,1286,1286,-32768,ほろぐ,動詞,,,,,方言,ホログ,はらい落とす,386,*,*,*,*
ほろげる,1286,1286,-32768,ほろげる,動詞,,,,,方言,ホロゲル,ほどける,387,*,*,*,*
ほんね,1286,1286,-32768,ほんね,動詞,,,,,方言,ホンネ,違う,388,*,*,*,*
ほんね,1286,1286,-32768,ほんね,動詞,,,,,方言,ホンネ,違います,389,*,*,*,*
まきこき,1286,1286,-32768,まきこき,動詞,,,,,方言,マキコキ,あわてている,390,*,*,*,*
まげろ,1286,1286,-32768,まげろ,動詞,,,,,方言,マゲロ,値引きしろ,391,*,*,*,*
まっちょ,1286,1286,-32768,まっちょ,動詞,,,,,方言,マッチョ,待って,392,*,*,*,*
まよう,913,913,-32768,まよう,動詞,さ変,,,,方言,マヨウ,弁償する,393,*,*,*,*
まよえ,1286,1286,-32768,まよえ,動詞,,,,,方言,マヨエ,弁償しろ,394,*,*,*,*
みごる,1286,1286,-32768,みごる,動詞,,,,,方言,ミゴル,濁る,395,*,*,*,*
みじつけ,1286,1286,-32768,みじつけ,動詞,不規則,,,,方言,ミジツケ,雪上に道をつくる,396,*,*,*,*
みだでら,1286,1286,-32768,みだでら,動詞,不規則,,,,方言,ミダデラ,見たでしょう,397,*,*,*,*
みっちゃぐない,1286,1286,-32768,みっちゃぐない,動詞,不規則,,,,方言,ミッチャグナイ,見たくない,398,*,*,*,*
みでくだっか,1286,1286,-32768,みでくだっか,動詞,不規則,,,,方言,ミデクダッカ,見てくださいますか,399,*,*,*,*
みでくだっぺが,1286,1286,-32768,みでくだっぺが,動詞,不規則,,,,方言,ミデクダッペガ,見てくれるでしょうか,400,*,*,*,*
みでくだんねが,1286,1286,-32768,みでくだんねが,動詞,不規則,,,,方言,ミデ クダンネガ,見てもらえないでしょうか,401,*,*,*,*
みでけろ,1286,1286,-32768,みでけろ,動詞,不規則,,,,方言,ミデケロ,見てください,402,*,*,*,*
みでね,1286,1286,-32768,みでね,動詞,不規則,,,,方言,ミデネ,見ていません,403,*,*,*,*
みね,1286,1286,-32768,みね,動詞,,,,,方言,ミネ,見ません,404,*,*,*,*
みらんに,1286,1286,-32768,みらんに,動詞,,,,,方言,ミランニ,見られません,405,*,*,*,*
みらんにがった,1286,1286,-32768,みらんにがった,動詞,,,,,方言,ミランニガッタ,見れなかった,406,*,*,*,*
みらんにがったが,1286,1286,-32768,みらんにがったが,動詞,,,,,方言,ミランニガッタガ,見られなかったか？,407,*,*,*,*
むぐし,1286,1286,-32768,むぐし,動詞,,,,,方言,ムグシ,漏らし,408,*,*,*,*
むぐした,1286,1286,-32768,むぐした,動詞,,,,,方言,ムグシタ,漏れる,409,*,*,*,*
むぐす,1286,1286,-32768,むぐす,動詞,,,,,方言,ムグス,漏れる,410,*,*,*,*
むぐす,1286,1286,-32768,むぐす,動詞,,,,,方言,ムグス,漏れる,411,*,*,*,*
むぐっちゃ,1286,1286,-32768,むぐっちゃ,動詞,,,,,方言,ムグッチャ,漏れる,412,*,*,*,*
むぐる,1286,1286,-32768,むぐる,動詞,,,,,方言,ムグル,漏れる,413,*,*,*,*
むぐる,1286,1286,-32768,むぐる,動詞,,,,,方言,ムグル,漏れる,414,*,*,*,*
むぐれる,1286,1286,-32768,むぐれる,動詞,不規則,,,,方言,ムグレル,ムカッとして怒る,415,*,*,*,*
むさずる,913,913,-32768,むさずる,動詞,さ変,,,,方言,ムサズル,悪戯する,416,*,*,*,*
むじぐる,1286,1286,-32768,むじぐる,動詞,,,,,方言,ムジグル,揉む,417,*,*,*,*
むじる,1286,1286,-32768,むじる,動詞,,,,,方言,ムジル,曲る,418,*,*,*,*
むじっ,1286,1286,-32768,むじっ,動詞,,,,,方言,ムジル,曲っ,419,*,*,*,*
むずがる,1286,1286,-32768,むずがる,動詞,,,,,方言,ムズガル,ぐずる,420,*,*,*,*
むずる,1286,1286,-32768,むずる,動詞,,,,,方言,ムズル,曲がる,421,*,*,*,*
むづる,1286,1286,-32768,むづる,動詞,,,,,方言,ムヅル,曲がる,422,*,*,*,*
むづる,1286,1286,-32768,むづる,動詞,,,,,方言,ムヅル,曲がる,423,*,*,*,*
むらす,1286,1286,-32768,むらす,動詞,,,,,方言,ムラス,漏れる,424,*,*,*,*
めせずらがす,1286,1286,-32768,めせずらがす,動詞,,,,,方言,メセズラ ガス,見せびらかす,425,*,*,*,*
めっけで,1286,1286,-32768,めっけで,動詞,,,,,方言,メッケデ,見つけて,426,*,*,*,*
めっける,1286,1286,-32768,めっける,動詞,,,,,方言,メッケル,見つける,427,*,*,*,*
もぎ,1286,1286,-32768,もぎ,動詞,,,,,方言,モギ,取り除く,428,*,*,*,*
もぎ,913,913,-32768,もぎ,動詞,さ変,,,,方言,モギ,収穫する,429,*,*,*,*
もぐ,1286,1286,-32768,もぐ,動詞,,,,,方言,モグ,もぎ取る,430,*,*,*,*
もじゃぐる,1286,1286,-32768,もじゃぐる,動詞,,,,,方言,モジャグル,揉む,431,*,*,*,*
もぞかだる,1286,1286,-32768,もぞかだる,動詞,不規則,,,,方言,モゾカ ダル,世迷い言を言う,432,*,*,*,*
もっかえる,1286,1286,-32768,もっかえる,動詞,不規則,,,,方言,モッカ エル,ひっくり返る,433,*,*,*,*
もっかえる,1286,1286,-32768,もっかえる,動詞,不規則,,,,方言,モッカ エル,倒れる,434,*,*,*,*
もってがっちゃ,1286,1286,-32768,もってがっちゃ,動詞,不規則,,,,方言,モッテガッチャ,持って行かれた、盗まれる,435,*,*,*,*
もどす,1286,1286,-32768,もどす,動詞,,,,,方言,モドス,吐く,436,*,*,*,*
もらわれっか,1286,1286,-32768,もらわれっか,動詞,,,不変,,方言,モラワレッカ,もらえますか,437,*,*,*,*
もらわんに,1286,1286,-32768,もらわんに,動詞,,,,,方言,モラワンニ,貰えない,438,*,*,*,*
もらわんにが,1286,1286,-32768,もらわんにが,動詞,不規則,,,,方言,モラワンニガ,貰えないでしょうか？,439,*,*,*,*
もんじゃぐる,1286,1286,-32768,もんじゃぐる,動詞,不規則,,,,方言,モンジャグル,紙をくしゃくしゃにする,440,*,*,*,*
やい,1286,1286,-32768,やい,動詞,,,,,方言,ヤイ,下さい,441,*,*,*,*
やめる,1286,1286,-32768,やめる,動詞,,,不変,,方言,ヤメル,痛い,442,*,*,*,*
やらんに,1286,1286,-32768,やらんに,動詞,,,,,方言,ヤランニ,あげません,443,*,*,*,*
やんな,1286,1286,-32768,やんな,動詞,,,,,方言,ヤンナ,やめなさい,444,*,*,*,*
やんね,1286,1286,-32768,やんね,動詞,,,,,方言,ヤンネ,あげない,445,*,*,*,*
ゆすぐる,1286,1286,-32768,ゆすぐる,動詞,,,,,方言,ユスグル,揺らす,446,*,*,*,*
ゆすぐんな,1286,1286,-32768,ゆすぐんな,動詞,,,,,方言,ユスグンナ,揺らすな,447,*,*,*,*
ゆったべ,1286,1286,-32768,ゆったべ,動詞,,,,,方言,ユッタベ,言ったのに,448,*,*,*,*
ゆっつばえる,1286,1286,-32768,ゆっつばえる,動詞,不規則,,,,方言,ユッツバ エル,結んで固定する,449,*,*,*,*
よげろ,1286,1286,-32768,よげろ,動詞,,,,,方言,ヨゲロ,どいて,450,*,*,*,*
よごしぇ,1286,1286,-32768,よごしぇ,動詞,,,,,方言,ヨゴシェ,よこせ,451,*,*,*,*
よごせ,1286,1286,-32768,よごせ,動詞,,,,,方言,ヨゴセ,寄越せ,452,*,*,*,*
よばる,1286,1286,-32768,よばる,動詞,,,,,方言,ヨバル,呼ぶ,453,*,*,*,*
よる,1286,1286,-32768,よる,動詞,,,,,方言,ヨル,家の中に入る,454,*,*,*,*
らりる,1286,1286,-32768,らりる,動詞,,,,,方言,ラリル,ふらつく,455,*,*,*,*
わしぇだ,1286,1286,-32768,わしぇだ,動詞,,,,,方言,ワシェダ,忘れた,456,*,*,*,*
わせだ,1286,1286,-32768,わせだ,動詞,,,,,方言,ワセダ,忘れた,457,*,*,*,*
わせで,1286,1286,-32768,わせで,動詞,,,,,方言,ワセデ,忘れて,458,*,*,*,*
わっしゃこ,1286,1286,-32768,わっしゃこ,動詞,,,不変,,方言,ワッシャコ,もてあそぶ,459,*,*,*,*
わにる,913,913,-32768,わにる,動詞,さ変,,,,方言,ワニル,人見知りする,460,*,*,*,*
わらわら,1286,1286,-32768,わらわら,動詞,助詞,,不変,,方言,ワラワラ,急いで,461,*,*,*,*
んね,1286,1286,-32768,んね,動詞,,,,,方言,ンネ,違います,462,*,*,*,*
んねず,1286,1286,-32768,んねず,動詞,,,,,方言,ンネズ,違います,463,*,*,*,*
