置賜弁テスト,1,1,-32768,見出し結果表示,品詞1,品詞2,品詞3,品詞4,品詞9(活用形),品詞10(活用形),ヨミ,正規化表記,*,*,*,*,*
なして,4,4,-32768,なして,副詞,動詞,助動詞,,複合語方言,方言,ナシテ,どうして,*,*,*,*,*
なんぼ,4,4,-32768,なんぼ,副詞,,,,,方言,ナンボ,いくら,*,*,*,*,*
のさくさ,4,4,-32768,のさくさ,副詞,,,,,方言,ノサクサ,のろのろ,*,*,*,*,*
ひとっつも,4,4,-32768,ひとっつも,副詞,,,,,方言,ヒトッツモ,まったく,*,*,*,*,*
ひょえっと,4,4,-32768,ひょえっと,副詞,,,,,方言,ヒョエット,突然,*,*,*,*,*
ほだ,4,4,-32768,ほだ,副詞,,,,,方言,ホダ,そう,*,*,*,*,*
まず,4,4,-32768,まず,副詞,,,,,方言,マズ,とにかく,*,*,*,*,*
もさくさ,4,4,-32768,もさくさ,副詞,,,,,方言,モサクサ,のんびり,*,*,*,*,*
ろぐすっぽ,4,4,-32768,ろぐすっぽ,副詞,,,,,方言,ログスッポ,しっかり,*,*,*,*,*
ろぐすっぽ,4,4,-32768,ろぐすっぽ,副詞,,,,,方言,ログスッポ,ちゃんと,*,*,*,*,*
わげで,4,4,-32768,わげで,副詞,,,,,方言,ワゲデ,ことさら,*,*,*,*,*
あいづ,4785,4785,-32768,あいづ,名詞,,,,一般,方言,アイヅ,あれ,*,*,*,*,*
たんび,4785,4785,-32768,たんび,名詞,,,,一般,方言,タンビ,たび,*,*,*,*,*
あいづ,4785,4785,-32768,あいづ,名詞,普通名詞,,,,方言,アイヅ,あの人,*,*,*,*,*
あえん,4785,4785,-32768,あえん,名詞,,,,,方言,アエン,あれ,*,*,*,*,*
あお,4785,4785,-32768,あお,名詞,普通名詞,,,,方言,アオ,仰向け,*,*,*,*,*
あかぴっぴ,4785,4785,-32768,あかぴっぴ,名詞,,,,,方言,アカピッピ,赤ちゃん,*,*,*,*,*
あきさか,4785,4785,-32768,あきさか,名詞,,,,,方言,アキサカ,秋,*,*,*,*,*
あぐし,4785,4785,-32768,あぐし,名詞,,,,,方言,アグシ,あぐら,*,*,*,*,*
あぐだえ,4785,4785,-32768,あぐだえ,名詞,,,,,方言,アグダエ,悪口,*,*,*,*,*
あぐど,4785,4785,-32768,あぐど,名詞,,,,,方言,アグド,かかと,*,*,*,*,*
あだま,4785,4785,-32768,あだま,名詞,,,介護,,方言,アダマ,頭,*,*,*,*,*
あつけな,4785,4785,-32768,あつけな,名詞,複合語方言,,,,方言,アツケナ,あんなこと,*,*,*,*,*
あっちゃ,4785,4785,-32768,あっちゃ,名詞,,,,,方言,アッチャ,遠く,*,*,*,*,*
あっぽ,4785,4785,-32768,あっぽ,名詞,,,,,方言,アッポ,帽子,*,*,*,*,*
あてづっぽ,4785,4785,-32768,あてづっぽ,名詞,,,,,方言,アテヅッポ,あてずっぽう,*,*,*,*,*
あでつっぽ,4785,4785,-32768,あでつっぽ,名詞,,,,,方言,アデツッポ,推測,*,*,*,*,*
あどっつぁま,4785,4785,-32768,あどっつぁま,名詞,,,,,方言,アドッツァマ,住職,*,*,*,*,*
あねちゃ,4785,4785,-32768,あねちゃ,名詞,,,,,方言,アネチャ,お姉さん,*,*,*,*,*
あぶらっこ,4785,4785,-32768,あぶらっこ,名詞,,,,,方言,アブラッコ,補欠,*,*,*,*,*
あまけ,4785,4785,-32768,あまけ,名詞,,,,,方言,アマケ,雨,*,*,*,*,*
あまごい,4785,4785,-32768,あまごい,名詞,,,,,方言,アマゴイ,甘い,*,*,*,*,*
あやまじ,4785,4785,-32768,あやまじ,名詞,,,,,方言,アヤマジ,怪我,*,*,*,*,*
あわいこわいに,4785,4785,-32768,あわいこわいに,名詞,,,,,方言,アワイ コワイニ,時々,*,*,*,*,*
あんこ,4785,4785,-32768,あんこ,名詞,,,,,方言,アンコ,頭,*,*,*,*,*
あんちゃ,4785,4785,-32768,あんちゃ,名詞,,,,,方言,アンチャ,お兄さん,*,*,*,*,*
あんばい,4785,4785,-32768,あんばい,名詞,,,,,方言,アンバイ,体の調子,*,*,*,*,*
あんびん,4785,4785,-32768,あんびん,名詞,,,,,方言,アン ビン,大福,*,*,*,*,*
あんぺ,4785,4785,-32768,あんぺ,名詞,,,,,方言,アンペ,間抜け,*,*,*,*,*
あんま,4785,4785,-32768,あんま,名詞,,,,,方言,アンマ,水,*,*,*,*,*
あんまえ,4785,4785,-32768,あんまえ,名詞,,,,一般,方言,アンマエ,いいよ,*,*,*,*,*
あんまり,4785,4785,-32768,あんまり,名詞,,,,,方言,アンマリ,たくさん,*,*,*,*,*
いさばや,4785,4785,-32768,いさばや,名詞,,,,,方言,イサバヤ,魚屋,*,*,*,*,*
いちまる,4785,4785,-32768,①,名詞,数詞,,,,方言,イチマル,①,*,*,*,*,*
いっちぇ,4785,4785,-32768,いっちぇ,名詞,,,,,方言,イッチェ,入れて,*,*,*,*,*
いっちょまえ,4785,4785,-32768,いっちょまえ,名詞,,,,,方言,イッチョマエ,一人前,*,*,*,*,*
いっぺえ,4785,4785,-32768,いっぺえ,名詞,,,,,方言,イッペエ,一杯,*,*,*,*,*
いっぺんしょぶ,4785,4785,-32768,いっぺんしょぶ,名詞,,,,,方言,イッペンショブ,一度に全部,*,*,*,*,*
いづん,4785,4785,-32768,いづん,名詞,,,,,方言,イヅン,いつ,*,*,*,*,*
いまに,4785,4785,-32768,いまに,名詞,,,,複合語方言,方言,イマニ,後で,*,*,*,*,*
いやんばえ,4785,4785,-32768,いやんばえ,名詞,,,,,方言,イヤンバエ,いいあんばえ,*,*,*,*,*
うげっくら,4785,4785,-32768,うげっくら,名詞,,,,,方言,ウゲックラ,キャッチボール,*,*,*,*,*
うじ,4785,4785,-32768,うじ,名詞,,,,普通名詞,方言,ウジ,家,*,*,*,*,*
うだでごど,4785,4785,-32768,うだでごど,名詞,,,,,方言,ウダデゴド,嫌なこと,*,*,*,*,*
うっしょ,4785,4785,-32768,うっしょ,名詞,,,,,方言,ウッショ,後ろ,*,*,*,*,*
うっしょまえ,4785,4785,-32768,うっしょまえ,名詞,,,,,方言,ウッショマエ,後ろ前,*,*,*,*,*
うっちゃ,4785,4785,-32768,うっちゃ,名詞,,,,,方言,ウッチャ,自分の家,*,*,*,*,*
うわっぱり,4785,4785,-32768,うわっぱり,名詞,,,,,方言,ウワッパリ,事務服,*,*,*,*,*
うんと,4785,4785,-32768,うんと,名詞,,,,,方言,ウント,とても,*,*,*,*,*
えなごど,4785,4785,-32768,えなごど,名詞,複合語方言,,,,方言,エナゴド,縁起でもないこと,*,*,*,*,*
えんばいこぎ,4785,4785,-32768,えんばいこぎ,名詞,,,,,方言,エンバイ コギ,ご機嫌取り,*,*,*,*,*
おおまぐらい,4785,4785,-32768,おおまぐらい,名詞,,,,,方言,オオマグライ,大食い,*,*,*,*,*
おがだ,4785,4785,-32768,おがだ,名詞,,,,,方言,オガダ,家内,*,*,*,*,*
おがっつぁま,4785,4785,-32768,おがっつぁま,名詞,,,,,方言,オガッツァマ,お母様,*,*,*,*,*
おがっつあま,4785,4785,-32768,おがっつあま,名詞,,,,,方言,オガッツアマ,ままごと,*,*,*,*,*
おさい,4785,4785,-32768,おさい,名詞,,,,,方言,オサイ,おかず,*,*,*,*,*
おさえ,4785,4785,-32768,おさえ,名詞,,,,,方言,オサエ,おかず,*,*,*,*,*
おしる,4785,4785,-32768,おしる,名詞,,,,,方言,オシル,味噌汁,*,*,*,*,*
おっか,4785,4785,-32768,おっか,名詞,,,,,方言,オッカ,おかあさん,*,*,*,*,*
おどがえ,4785,4785,-32768,おどがえ,名詞,,,,,方言,オドガエ,あご,*,*,*,*,*
おどげでない,4785,4785,-32768,おどげでない,名詞,複合語方言,,,,方言,オドゲデナイ,大変なことになる,*,*,*,*,*
おどげでね,4785,4785,-32768,おどげでね,名詞,複合語方言,,,,方言,オドゲデネ,大変なことになる,*,*,*,*,*
おどしとり,4785,4785,-32768,おどしとり,名詞,,,,,方言,オドシトリ,年越し,*,*,*,*,*
おにへ,4785,4785,-32768,おにへ,名詞,,,,,方言,オニヘ,強がり,*,*,*,*,*
おばんちゃ,4785,4785,-32768,おばんちゃ,名詞,,,,,方言,オバンチャ,おばあちゃん,*,*,*,*,*
おぼご,4785,4785,-32768,おぼご,名詞,,,,,方言,オボゴ,子ども,*,*,*,*,*
おまま,4785,4785,-32768,おまま,名詞,,,,,方言,オママ,御飯,*,*,*,*,*
おまんま,4785,4785,-32768,おまんま,名詞,,,,,方言,オマンマ,ご飯,*,*,*,*,*
おむがさり,4785,4785,-32768,おむがさり,名詞,,,,,方言,オムガサリ,結婚式,*,*,*,*,*
おやごえ,4785,4785,-32768,おやごえ,名詞,,,,,方言,オヤゴエ,引越し,*,*,*,*,*
おらい,4785,4785,-32768,おらいの,名詞,,,,,方言,オライノ,私,*,*,*,*,*
おらえ,4785,4785,-32768,おらえの,名詞,,,,,方言,オラエノ,私,*,*,*,*,*
おらだ,4785,4785,-32768,おらだ,名詞,,,,,方言,オラダ,俺たち,*,*,*,*,*
おらほ,4785,4785,-32768,おらほ,名詞,,,,,方言,オラホ,自分が住んでいるところ,*,*,*,*,*
おらんどご,4785,4785,-32768,おらんどご,名詞,,,,,方言,オランドゴ,私の家,*,*,*,*,*
おんつぁま,4785,4785,-32768,おんつぁま,名詞,,,,,方言,オンツァマ,叔父さん,*,*,*,*,*
おんつぁま,4785,4785,-32768,おんつぁま,名詞,,,,,方言,オンツァマ,伯父さん,*,*,*,*,*
かえちゃ,4785,4785,-32768,かえちゃ,名詞,,,,,方言,カエチャ,裏返し,*,*,*,*,*
がえろくだま,4785,4785,-32768,がえろくだま,名詞,,,,,方言,ガ エロクダマ,オタマジャクシ,*,*,*,*,*
かが,4785,4785,-32768,かが,名詞,,,,,方言,カガ,奥さん,*,*,*,*,*
がぎ,4785,4785,-32768,がぎ,名詞,,,,,方言,ガギ,子供,*,*,*,*,*
がさ,4785,4785,-32768,がさ,名詞,,,,,方言,ガサ,量,*,*,*,*,*
かしゃばば,4785,4785,-32768,かしゃばば,名詞,,,,,方言,カシャババ,気の強い老婆,*,*,*,*,*
かたぴた,4785,4785,-32768,かたぴた,名詞,,,,,方言,カタピタ,かさぶた,*,*,*,*,*
かだぴた,4785,4785,-32768,かだぴた,名詞,,,,,方言,カダピタ,かさぶた,*,*,*,*,*
がっき,4785,4785,-32768,がっき,名詞,,,,,方言,ガッキ,お手玉,*,*,*,*,*
かっしゃ,4785,4785,-32768,かっしゃ,名詞,,,,,方言,カッシャ,上の方,*,*,*,*,*
かっぱらい,4785,4785,-32768,かっぱらい,名詞,,,,,方言,カッパライ,泥棒,*,*,*,*,*
かなこおり,4785,4785,-32768,かなこおり,名詞,,,,,方言,カナコオリ,つらら,*,*,*,*,*
かなこり,4785,4785,-32768,かなこり,名詞,,,,,方言,カナコリ,つらら,*,*,*,*,*
がぼっと,4785,4785,-32768,がぼっと,名詞,,,,,方言,ガボット,たくさん,*,*,*,*,*
からがい,4785,4785,-32768,からがい,名詞,,,,,方言,カラガイ,干しエイ,*,*,*,*,*
がらみ,4785,4785,-32768,がらみ,名詞,,,,,方言,ガラミ,すべて,*,*,*,*,*
がんがく,4785,4785,-32768,がんがく,名詞,,,,,方言,ガンガク,必要なモノ,*,*,*,*,*
がんがぐ,4785,4785,-32768,がんがぐ,名詞,,,,,方言,ガンガ グ,準備、段取り,*,*,*,*,*
かんくらい,4785,4785,-32768,かんくらい,名詞,,,,,方言,カンクライ,強い味好み,*,*,*,*,*
きしゃ,4785,4785,-32768,きしゃ,名詞,,,,,方言,キシャ,電車,*,*,*,*,*
きじり,4785,4785,-32768,きじり,名詞,,,,,方言,キジリ,マキの貯蔵庫,*,*,*,*,*
きたえ,4785,4785,-32768,きたえ,名詞,,,,,方言,キタエ,不思議,*,*,*,*,*
ぎっきど,4785,4785,-32768,ぎっきど,名詞,,,,,方言,ギッキド,無理矢理,*,*,*,*,*
ぎっちょ,4785,4785,-32768,ぎっちょ,名詞,,,,,方言,ギッチョ,左利き,*,*,*,*,*
きどい,4785,4785,-32768,きどい,名詞,,,,,方言,キドイ,クセのある,*,*,*,*,*
きどころね,4785,4785,-32768,きどころね,名詞,,,,,方言,キドコロネ,服をきたまま寝ること,*,*,*,*,*
きぴちょ,4785,4785,-32768,きぴちょ,名詞,,,,,方言,キピチョ,急須,*,*,*,*,*
きびわり,4785,4785,-32768,きびわり,名詞,,,,,方言,キビワリ,不気味,*,*,*,*,*
きゅうまる,4785,4785,-32768,⑨,名詞,数詞,,,,方言,キュウマル,⑨,*,*,*,*,*
きんな,4785,4785,-32768,きんな,名詞,,,,,方言,キンナ,昨日,*,*,*,*,*
ぐっちょり,4785,4785,-32768,ぐっちょり,名詞,,,,,方言,グッチョリ,ずぶ濡れ,*,*,*,*,*
けーず,4785,4785,-32768,けーず,名詞,,,,,方言,ケーズ,これ,*,*,*,*,*
けっちけろ,4785,4785,-32768,けっちけろ,名詞,,,,,方言,ケッチケロ,頂戴,*,*,*,*,*
けっつ,4785,4785,-32768,けっつ,名詞,,,,,方言,ケッツ,尻,*,*,*,*,*
げっぽ,4785,4785,-32768,げっぽ,名詞,,,,,方言,ゲッポ,最下位,*,*,*,*,*
けろ,4785,4785,-32768,けろ,名詞,,,,,方言,ケロ,ください,*,*,*,*,*
けん,4785,4785,-32768,けん,名詞,,,,,方言,ケン,これ,*,*,*,*,*
けんにぇが,4785,4785,-32768,けんにぇが,名詞,,,,,方言,ケンニェガ,ください,*,*,*,*,*
こいず,4785,4785,-32768,こいず,名詞,,,,,方言,コイズ,この人,*,*,*,*,*
こいづ,4785,4785,-32768,こいづ,名詞,,,,,方言,コイヅ,これ,*,*,*,*,*
こがんごど,4785,4785,-32768,こがんごど,名詞,,,,,方言,コガンゴド,こんなこと,*,*,*,*,*
こがんどご,4785,4785,-32768,こがんどご,名詞,,,,,方言,コガンドゴ,こんなところ,*,*,*,*,*
こげな,4785,4785,-32768,こげな,名詞,,,,,方言,コゲナ,こんな,*,*,*,*,*
ここさ,4785,4785,-32768,ここさ,名詞,,,,,方言,ココサ,ここに,*,*,*,*,*
こさ,4785,4785,-32768,こさ,名詞,,,,,方言,コサ,ここに,*,*,*,*,*
こしょう,4785,4785,-32768,こしょう,名詞,,,,,方言,コショウ,わがまま,*,*,*,*,*
こだな,4785,4785,-32768,こだな,名詞,,,,,方言,コダナ,こんな,*,*,*,*,*
こつけな,4785,4785,-32768,こつけな,名詞,,,,,方言,コツケナ,こんなこと,*,*,*,*,*
こつげな,4785,4785,-32768,こつげな,名詞,,,,,方言,コツゲナ,こんな,*,*,*,*,*
こっちゃ,4785,4785,-32768,こっちゃ,名詞,,,,,方言,コッチャ,こちらに,*,*,*,*,*
ごっつぉ,4785,4785,-32768,ごっつぉ,名詞,,,,,方言,ゴッツォ,ご馳走,*,*,*,*,*
ごっつぉう,4785,4785,-32768,ごっつぉう,名詞,,,,,方言,ゴッツォウ,ご馳走,*,*,*,*,*
こつぱし,4785,4785,-32768,こつぱし,名詞,,,,,方言,コツパシ,これぽっち,*,*,*,*,*
ごど,4785,4785,-32768,ごど,名詞,,,,,方言,ゴド,こと,*,*,*,*,*
ごど,4785,4785,-32768,ごど,名詞,,,,,方言,ゴド,こと,*,*,*,*,*
こないだ,4785,4785,-32768,こないだ,名詞,,,,,方言,コナイダ,この前,*,*,*,*,*
こねえだ,4785,4785,-32768,こねえだ,名詞,,,,,方言,コネエダ,この前,*,*,*,*,*
このげ,4785,4785,-32768,このげ,名詞,,,,,方言,コノゲ,まゆげ,*,*,*,*,*
ごまる,4785,4785,-32768,⑤,名詞,数詞,,,,方言,ゴマル,⑤,*,*,*,*,*
ごやえ,4785,4785,-32768,ごやえ,名詞,,,,,方言,ゴヤエ,ください,*,*,*,*,*
ごんぼ,4785,4785,-32768,ごんぼ,名詞,,,,,方言,ゴンボ,ごぼう,*,*,*,*,*
ざいご,4785,4785,-32768,ざいご,名詞,,,,,方言,ザイゴ,田舎,*,*,*,*,*
さえず,4785,4785,-32768,さえず,名詞,,,,,方言,サエズ,それは,*,*,*,*,*
さえづづ,4785,4785,-32768,さえづづ,名詞,,,,,方言,サエヅヅ,トンカチ,*,*,*,*,*
さえばし,4785,4785,-32768,さえばし,名詞,,,,,方言,サエバシ,さいばし,*,*,*,*,*
さぎっちょ,4785,4785,-32768,さぎっちょ,名詞,,,,,方言,サギッチョ,先端,*,*,*,*,*
さっきな,4785,4785,-32768,さっきな,名詞,,,,,方言,サッキナ,先程,*,*,*,*,*
ざっこ,4785,4785,-32768,ざっこ,名詞,,,,,方言,ザッコ,川魚,*,*,*,*,*
さっつうど,4785,4785,-32768,さっつうど,名詞,,,,,方言,サッツウド,大事な時に,*,*,*,*,*
さんにぇ,4785,4785,-32768,さんにぇ,名詞,,,,,方言,サンニェ,できない,*,*,*,*,*
ざんま,4785,4785,-32768,ざんま,名詞,,,,,方言,ザンマ,有り様,*,*,*,*,*
さんまる,4785,4785,-32768,③,名詞,数詞,,,,方言,サンマル,③,*,*,*,*,*
しぇしぇじゃ,4785,4785,-32768,しぇしぇじゃ,名詞,,,,,方言,シェシェジャ,排水を溜めておく場所,*,*,*,*,*
しが,4785,4785,-32768,しが,名詞,,,,,方言,シガ,薄氷,*,*,*,*,*
しきたれ,4785,4785,-32768,しきたれ,名詞,,,,,方言,シキタレ,だらしない,*,*,*,*,*
しきたれ,4785,4785,-32768,しきたれ,名詞,,,,,方言,シキタレ,だらしない,*,*,*,*,*
しこだま,4785,4785,-32768,しこだま,名詞,,,,,方言,シコダマ,たくさん,*,*,*,*,*
じじちゃ,4785,4785,-32768,じじちゃ,名詞,,,,,方言,ジジチャ,おじいさん,*,*,*,*,*
じっこ,4785,4785,-32768,じっこ,名詞,,,,,方言,ジッコ,小便,*,*,*,*,*
じっちゃ,4785,4785,-32768,じっちゃ,名詞,,,,,方言,ジッチャ,おじいちゃん,*,*,*,*,*
しっちゃもの,4785,4785,-32768,しっちゃもの,名詞,,,,,方言,シッチャ モノ,僅かな物,*,*,*,*,*
しっとず,4785,4785,-32768,しっとず,名詞,,,,,方言,シットズ,いっぱい、沢山,*,*,*,*,*
しゃいこね,4785,4785,-32768,しゃいこね,名詞,,,,,方言,シャイ コネ,余計なこと,*,*,*,*,*
しゃえこ,4785,4785,-32768,しゃえこ,名詞,,,,,方言,シャエコ,おせっかい,*,*,*,*,*
しゃじ,4785,4785,-32768,しゃじ,名詞,,,,,方言,シャジ,スプーン,*,*,*,*,*
しゃで,4785,4785,-32768,しゃで,名詞,,,,,方言,シャデ,弟,*,*,*,*,*
しゃべろ,4785,4785,-32768,しゃべろ,名詞,,,,,方言,シャベロ,スコップ,*,*,*,*,*
しゃれこ,4785,4785,-32768,しゃれこ,名詞,,,,,方言,シャレコ,おしゃれな格好,*,*,*,*,*
じゅうまる,4785,4785,-32768,⑩,名詞,数詞,,,,方言,ジュウマル,⑩,*,*,*,*,*
じょうくじ,4785,4785,-32768,じょうくじ,名詞,,,,,方言,ジョウクジ,玄関,*,*,*,*,*
じょさいね,4785,4785,-32768,じょさいね,名詞,,,,,方言,ジョサイネ,簡単だ,*,*,*,*,*
じょさね,4785,4785,-32768,じょさね,名詞,,,,,方言,ジョサネ,簡単だ,*,*,*,*,*
じょん,4785,4785,-32768,じょん,名詞,,,,,方言,ジョン,上手,*,*,*,*,*
ずぐだれ,4785,4785,-32768,ずぐだれ,名詞,,,,,方言,ズグダレ,怠け者,*,*,*,*,*
すけっから,4785,4785,-32768,すけっから,名詞,,,,,方言,スケッカラ,助けるから,*,*,*,*,*
すける,4785,4785,-32768,すける,名詞,,,,,方言,スケル,助ける,*,*,*,*,*
すっぱね,4785,4785,-32768,すっぱね,名詞,,,,,方言,スッパネ,泥跳ね,*,*,*,*,*
すっぴん,4785,4785,-32768,すっぴん,名詞,,,,,方言,スッピン,まる裸,*,*,*,*,*
ずほん,4785,4785,-32768,ずほん,名詞,,,,,方言,ズホン,ズボン,*,*,*,*,*
せーず,4785,4785,-32768,せーず,名詞,,,,,方言,セーズ,それ,*,*,*,*,*
せん,4785,4785,-32768,せん,名詞,,,,,方言,セン,それ,*,*,*,*,*
せんだって,4785,4785,-32768,せんだって,名詞,,,,,方言,センダッテ,先日,*,*,*,*,*
そがえな,4785,4785,-32768,そがえな,名詞,,,,,方言,ソガエナ,そんな,*,*,*,*,*
そがな,4785,4785,-32768,そがな,名詞,,,,,方言,ソガナ,そんな,*,*,*,*,*
そがに,4785,4785,-32768,そがに,名詞,,,,,方言,ソガニ,そんなに,*,*,*,*,*
そご,4785,4785,-32768,そご,名詞,,,,,方言,ソゴ,そこ,*,*,*,*,*
そさ,4785,4785,-32768,そさ,名詞,,,,,方言,ソサ,そこへ,*,*,*,*,*
そだな,4785,4785,-32768,そだな,名詞,,,,,方言,ソダナ,そんな,*,*,*,*,*
そつけな,4785,4785,-32768,そつけな,名詞,,,,,方言,ソツケナ,そんなこと,*,*,*,*,*
そつけなごど,4785,4785,-32768,そつけなごど,名詞,,,,,方言,ソツケナゴド,そんなこと,*,*,*,*,*
そんぴん,4785,4785,-32768,そんぴん,名詞,,,,,方言,ソンピン,へそ曲がり,*,*,*,*,*
たいしたき,4785,4785,-32768,たいしたき,名詞,,,,,方言,タイシタキ,大きな態度,*,*,*,*,*
たいしょう,4785,4785,-32768,たいしょう,名詞,,,,,方言,タイショウ,あなた,*,*,*,*,*
だいでんばご,4785,4785,-32768,だいでんばご,名詞,,,,,方言,ダイデ ンバゴ,大きな蛙,*,*,*,*,*
たっぺ,4785,4785,-32768,たっぺ,名詞,,,,,方言,タッペ,つば,*,*,*,*,*
だでやづ,4785,4785,-32768,だでやづ,名詞,,,,,方言,ダデヤヅ,嫌な人,*,*,*,*,*
だみ,4785,4785,-32768,だみ,名詞,,,,,方言,ダミ,葬式,*,*,*,*,*
だみだし,4785,4785,-32768,だみだし,名詞,,,,,方言,ダミダシ,葬式,*,*,*,*,*
だみ出し,4785,4785,-32768,だみ出し,名詞,,,,,方言,ダミダシ,葬式,*,*,*,*,*
だらくされ,4785,4785,-32768,だらくされ,名詞,,,,,方言,ダラクサレ,ずぶ濡れ,*,*,*,*,*
だんころ,4785,4785,-32768,だんころ,名詞,,,,,方言,ダンコロ,大きなかたまり,*,*,*,*,*
たんと,4785,4785,-32768,たんと,名詞,,,,,方言,タント,たくさん,*,*,*,*,*
だんなし,4785,4785,-32768,だんなし,名詞,,,,,方言,ダンナシ,金持ち,*,*,*,*,*
だんなしゅう,4785,4785,-32768,だんなしゅう,名詞,,,,,方言,ダンナシュウ,旦那,*,*,*,*,*
たんぺ,4785,4785,-32768,たんぺ,名詞,,,,,方言,タンペ,唾,*,*,*,*,*
だんぼ,4785,4785,-32768,だんぼ,名詞,,,,,方言,ダンボ,し尿,*,*,*,*,*
ちくと,4785,4785,-32768,ちくと,名詞,,,,,方言,チクト,少し,*,*,*,*,*
ちちゃこい,4785,4785,-32768,ちちゃこい,名詞,,,,,方言,チチャコイ,小さい頃,*,*,*,*,*
ちっと,4785,4785,-32768,ちっと,名詞,,,,,方言,チット,少し,*,*,*,*,*
ちびっと,4785,4785,-32768,ちびっと,名詞,,,,,方言,チビット,少し,*,*,*,*,*
ちゃぶだい,4785,4785,-32768,ちゃぶだい,名詞,,,,,方言,チャブダイ,食卓,*,*,*,*,*
ちょおま,4785,4785,-32768,ちょおま,名詞,,,,,方言,チョオマ,蝶,*,*,*,*,*
ちょこっと,4785,4785,-32768,ちょこっと,名詞,,,,,方言,チョコット,少し,*,*,*,*,*
ちょっと,4785,4785,-32768,ちょっと,名詞,,,,,方言,チョット,少し,*,*,*,*,*
ちょっぺっと,4785,4785,-32768,ちょっぺっと,名詞,,,,,方言,チョッペット,少し,*,*,*,*,*
ちょぴっと,4785,4785,-32768,ちょぴっと,名詞,,,,,方言,チョッピット,少し,*,*,*,*,*
ちんと,4785,4785,-32768,ちんと,名詞,,,,,方言,チント,少し,*,*,*,*,*
づぐだれ,4785,4785,-32768,づぐだれ,名詞,,,,,方言,ヅグダレ,怠け者,*,*,*,*,*
つづらご,4785,4785,-32768,つづらご,名詞,,,,,方言,ツヅラゴ,帯状疱疹,*,*,*,*,*
つぶ,4785,4785,-32768,つぶ,名詞,,,,,方言,ツブ,たにし,*,*,*,*,*
つぼ,4785,4785,-32768,つぼ,名詞,,,,,方言,ツボ,庭,*,*,*,*,*
つよ,4785,4785,-32768,つよ,名詞,,,,,方言,ツヨ,露,*,*,*,*,*
でーず,4785,4785,-32768,でーず,名詞,,,,,方言,デーズ,誰,*,*,*,*,*
でーず？,4785,4785,-32768,でーず？,名詞,,,,,方言,デーズ？,どれ？,*,*,*,*,*
てご,4785,4785,-32768,てご,名詞,,,,,方言,テゴ,手伝い,*,*,*,*,*
でっしり,4785,4785,-32768,でっしり,名詞,,,,,方言,デッシリ,沢山,*,*,*,*,*
ででぽっぽ,4785,4785,-32768,ででぽっぽ,名詞,,,,,方言,デデポッポ,山鳩,*,*,*,*,*
でほだれ,4785,4785,-32768,でほだれ,名詞,,,,,方言,デホダレ,いい加減,*,*,*,*,*
でほだれ,4785,4785,-32768,でほだれ,名詞,,,,,方言,デホダレ,でたらめ,*,*,*,*,*
てぼっこ,4785,4785,-32768,てぼっこ,名詞,,,,,方言,テボッコ,不器用,*,*,*,*,*
でろ,4785,4785,-32768,でろ,名詞,,,,,方言,デロ,泥,*,*,*,*,*
でんぐりがえり,4785,4785,-32768,でんぐりがえり,名詞,,,,,方言,デングリガ エリ,ひっくり返り,*,*,*,*,*
でんぐりがえる,4785,4785,-32768,でんぐりがえる,名詞,,,,,方言,デングリガ エル,ひっくり返る,*,*,*,*,*
てんつ,4785,4785,-32768,てんつ,名詞,,,,,方言,テンツ,嘘,*,*,*,*,*
てんまる,4785,4785,-32768,てんまる,名詞,,,,,方言,テンマル,ボール,*,*,*,*,*
とうぎみ,4785,4785,-32768,とうぎみ,名詞,,,,,方言,トウギミ,とうもろこし,*,*,*,*,*
とうみぎ,4785,4785,-32768,とうみぎ,名詞,,,,,方言,トウミギ,とうもろこし,*,*,*,*,*
とーみぎ,4785,4785,-32768,とーみぎ,名詞,,,,,方言,トーミギ,とうもろこし,*,*,*,*,*
とおりん,4785,4785,-32768,とおりん,名詞,,,,,方言,ト オリン,ひとり,*,*,*,*,*
どくみ,4785,4785,-32768,どくみ,名詞,,,,,方言,ドクミ,味見,*,*,*,*,*
どこさ,4785,4785,-32768,どこさ,名詞,助詞,,,,方言,ドコサ,どこへ,*,*,*,*,*
どさ,4785,4785,-32768,どさ,名詞,助詞,,,,方言,ドサ,どこへ,*,*,*,*,*
としょり,4785,4785,-32768,としょり,名詞,,,,,方言,ト ショリ,年寄り,*,*,*,*,*
どっけ,4785,4785,-32768,どっけ,名詞,,,,,方言,ドッケ,最下位,*,*,*,*,*
どっけえ,4785,4785,-32768,どっけえ,名詞,,,,,方言,ドッケエ,最下位,*,*,*,*,*
どっちゃ,4785,4785,-32768,どっちゃ,名詞,助詞,,,複合語方言,方言,ドッチャ,どちらへ,*,*,*,*,*
どっぱら,4785,4785,-32768,どっぱら,名詞,,,,,方言,ドッパラ,腹の真中,*,*,*,*,*
どっぺ,4785,4785,-32768,どっぺ,名詞,,,,,方言,ドッペ,栓,*,*,*,*,*
どど,4785,4785,-32768,どど,名詞,,,,,方言,ドド,親父,*,*,*,*,*
とのぐじ,4785,4785,-32768,とのぐじ,名詞,,,,,方言,トノ グジ,玄関,*,*,*,*,*
どんぶく,4785,4785,-32768,どんぶく,名詞,,,,,方言,ドンブク,半纏,*,*,*,*,*
どんぶぐ,4785,4785,-32768,どんぶぐ,名詞,,,,,方言,ドン ブグ,羽織,*,*,*,*,*
