なんだず,50,50,-32768,なんだず,感動詞,,,,複合語方言,方言,ナンダズ,なんですか,*,*,*,*,*
なんとしった,50,50,-32768,なんとしった,感動詞,,,,複合語方言,方言,ナント シッタ,どうしてますか,*,*,*,*,*
なんぼなんだって,50,50,-32768,なんぼなんだって,感動詞,,,,複合語方言,方言,ナンボ ナンダッテ,いくらなんでも,*,*,*,*,*
にだくさい,50,50,-32768,にだくさい,感動詞,,,,複合語方言,方言,ニダクサイ,似ている感じがする,*,*,*,*,*
のんべんだらりん,50,50,-32768,のんべんだらりん,感動詞,,,,複合語方言,方言,ノンベンダラリン,切りが無い,*,*,*,*,*
ばんかだ,50,50,-32768,ばんかだ,感動詞,,,,一般,方言,バンカダ,こんばんは,*,*,*,*,*
ひまだれこぐ,50,50,-32768,ひまだれこぐ,感動詞,,,,複合語方言,方言,ヒマダレコグ,無駄な時間を過ごした,*,*,*,*,*
ぶじょうほ,50,50,-32768,ぶじょうほ,感動詞,,,,一般,方言,ブジョウホ,失礼しました,*,*,*,*,*
ぶじょうほなっし,50,50,-32768,ぶじょうほなっし,感動詞,,,,一般,方言,ブジョウホナッシ,失礼しました,*,*,*,*,*
ぶじょほな,50,50,-32768,ぶじょほな,感動詞,,,,一般,方言,ブジョホナ,失礼、ごめんなさい,*,*,*,*,*
ほだず,50,50,-32768,ほだず,感動詞,,,,一般,方言,ホダズ,そうなんだよ,*,*,*,*,*
ほだず,50,50,-32768,ほだず,感動詞,,,,一般,方言,ホダズ,そうなんです,*,*,*,*,*
ほだずな,50,50,-32768,ほだずな,感動詞,,,,一般,方言,ホダズナ,そうなんだよな,*,*,*,*,*
ほだずなー,50,50,-32768,ほだずなー,感動詞,,,,一般,方言,ホダズナー,そうですねー,*,*,*,*,*
ほだどごでね,50,50,-32768,ほだどごでね,感動詞,,,,一般,方言,ホダドゴデネ,そうだよね,*,*,*,*,*
ほだなが,50,50,-32768,ほだなが,感動詞,,,,一般,方言,ホダナガ,そうなの？,*,*,*,*,*
ほだながあ,50,50,-32768,ほだながあ,感動詞,,,,一般,方言,ホダナガア,そうですか,*,*,*,*,*
ほだながぁ,50,50,-32768,ほだながぁ,感動詞,,,,一般,方言,ホダナガァ,そうなんですか,*,*,*,*,*
ほだべ,50,50,-32768,ほだべ,感動詞,,,,一般,方言,ホダベ,そうでしょう,*,*,*,*,*
ほだべした,50,50,-32768,ほだべした,感動詞,,,,一般,方言,ホダベシタ,そうだよ,*,*,*,*,*
ほだんよ,50,50,-32768,ほだんよ,感動詞,,,,一般,方言,ホダンヨ,そうなんですよ,*,*,*,*,*
ほっか,50,50,-32768,ほっか,感動詞,,,,一般,方言,ホッカ,そうか,*,*,*,*,*
ほでねーべ,50,50,-32768,ほでねーべ,感動詞,,,,複合語方言,方言,ホデネーベ,違うんじゃないの,*,*,*,*,*
ほでねべ,50,50,-32768,ほでねべ,感動詞,,,,複合語方言,方言,ホデネベ,そうではない,*,*,*,*,*
ほんじゃ,50,50,-32768,ほんじゃ,感動詞,,,,一般,方言,ホンジャ,それでは,*,*,*,*,*
ほんじゃば,50,50,-32768,ほんじゃば,感動詞,,,,一般,方言,ホンジャバ,それじゃあまたね,*,*,*,*,*
まだなんね,50,50,-32768,まだなんね,感動詞,,,,複合語方言,方言,マダ ナンネ,待たなければならなくなった,*,*,*,*,*
むさいごど,50,50,-32768,むさいごど,感動詞,,,,一般,方言,ムサイゴド,まいったなー,*,*,*,*,*
やんだ,50,50,-32768,やんだ,感動詞,,,,,方言,ヤンダ,嫌だ,*,*,*,*,*
ゆってんなず,50,50,-32768,ゆってんなず,感動詞,,,,一般,方言,ユッテンナズ,言わない方が良いよ,*,*,*,*,*
ゆってんなよ,50,50,-32768,ゆってんなよ,感動詞,,,,一般,方言,ユッテンナヨ,冗談だろ,*,*,*,*,*
よぐござったごど,50,50,-32768,よぐござったごど,感動詞,,,,一般,方言,ヨグゴザッタゴド,よく来てくださいました,*,*,*,*,*
よぐござったなっし,50,50,-32768,よぐござったなっし,感動詞,,,,一般,方言,ヨグゴザッタナッシ,よく来てくださいました,*,*,*,*,*
んじゃな,50,50,-32768,んじゃな,感動詞,,,,不変,方言,ンジャナ,またね,*,*,*,*,*
